,Unnamed: 0,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Tên xe,Giá xe,Nhãn hiệu,Mẫu xe,Nhiên liệu,Dung tích
4647,6123,2016,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.7 L,Màu khác,Màu khác,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner TRD Sportivo 4x2 AT ,560000000,Toyota,Fortuner TRD Sportivo 4x2 AT ,Xăng,2.7
4648,6125,2008,Xe đã dùng,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng 2.0 L,Kem,Kem,8,5,RFD - Dẫn động cầu sau,Toyota Innova V ,175000000,Toyota,Innova V ,Xăng,2.0
4649,6129,2017,Xe đã dùng,96000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 4.7 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz S class S500L ,1898000000,Mercedes,Benz S class S500L ,Xăng,4.7
4650,6130,2017,Xe đã dùng,62000,Nhập khẩu,Sedan,Số tự động,Xăng 2.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Lexus ES 250 ,1250000000,Lexus,ES 250 ,Xăng,2.5
4651,6131,2021,Xe đã dùng,16000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz E class E200 Exclusive ,1779000000,Mercedes,Benz E class E200 Exclusive ,Xăng,2.0
4652,6132,2016,Xe đã dùng,0,Lắp ráp trong nước,Hatchback,Số tay,Xăng 1.25 L,Ghi,Ghi,5,5,FWD - Dẫn động cầu trước,Kia Morning LX ,162000000,Kia,Morning LX ,Xăng,1.25
4653,6133,2015,Xe đã dùng,78000,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu 2.2 L,Đen,Đen,5,4,4WD - Dẫn động 4 bánh,Mazda BT50 2.2L 4x4 MT ,350000000,Mazda,BT50 2.2L 4x4 MT ,Dầu,2.2
4654,6134,2020,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Vios 1.5E CVT ,420000000,Toyota,Vios 1.5E CVT ,Xăng,1.5
4655,6136,2022,Xe đã dùng,61000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đỏ,Đỏ,5,4,FWD - Dẫn động cầu trước,Kia K3 Premium 2.0 AT ,590000000,Kia,K3 Premium 2.0 AT ,Xăng,2.0
4656,6137,2019,Xe đã dùng,38000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.4 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,VinFast Fadil 1.4 AT Plus ,295000000,VinFast,Fadil 1.4 AT Plus ,Xăng,1.4
